id,description,descriptionRaw,currencyCode,amount,amountInAccountCurrency,date,category,categoryId,balance,accountId,providerCode,status,paymentData,type,creditCardMetadata,acquirerData,merchant,createdAt,updatedAt
00000000-0000-0000-0000-000000000000,Google Storage,Google Storage,BRL,6.99,,2023-06-05T12:09:24.001Z,Digital services,09000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Internet', 'businessName': 'GOOGLE BRASIL INTERNET LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Desconto Antecipação ,Desconto Antecipação ,BRL,-1.61,,2023-06-05T00:08:12.299Z,Bank fees,16000000,,00000000-0000-0000-0000-000000000000,,POSTED,,CREDIT,"{'cardNumber': '0000', 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Desconto Antecipação ,Desconto Antecipação ,BRL,-18.3,,2023-06-05T00:08:02.349Z,Bank fees,16000000,,00000000-0000-0000-0000-000000000000,,POSTED,,CREDIT,"{'cardNumber': '0000', 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Desconto Antecipação ,Desconto Antecipação ,BRL,-14.56,,2023-06-05T00:07:50.150Z,Bank fees,16000000,,00000000-0000-0000-0000-000000000000,,POSTED,,CREDIT,"{'cardNumber': '0000', 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Petlove Order,Petlove Order,BRL,546.44,,2023-06-05T00:07:00.001Z,Pet supplies and vet,08030000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mp *Alipaybrasil,Mp *Alipaybrasil,BRL,110.89,,2023-06-04T21:00:29.001Z,Shopping,08000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnpj': '', 'name': 'alipay', 'businessName': ''}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Pagamento recebido,Pagamento recebido,BRL,-1762.55,,2023-06-04T03:00:00.000Z,Entrepreneurial activities,01030000,,00000000-0000-0000-0000-000000000000,,POSTED,,CREDIT,{'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'},,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 7/10,Amazon Marketplace 7/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 7, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 4/10,Amazon Marketplace 4/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 4, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 5/10,Amazon Marketplace 5/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 5, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
